Gender, Martial_Status, checking_account, Duration, Credit_history, Purpose, Credit_amount, Saving_Account, Employment, Installment, Debtors, Residence, Propety, Age, Other_installment, Housing, Credits, Job, Number_of_People, Telephone, Foreign_worker, Type_of_customer
male, married/widowed, 0 DM, 30, other credits existing, used car, 6187, <100-500 DM, 4-7 years, 1, none, 4, other, 24, none, rent, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 48, other credits existing, used car, 6143, <100 DM, >= 7 years, 4, none, 4, np property, 58, stores, for free, 2, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, no account, 11, other credits existing, new car, 1393, <100 DM, <1 year, 4, none, 4, other, 35, none, own, 2, manager/self-employed, 1, none, yes, 1
male, single, no account, 36, existing paid back duly till now, radio/television, 2299, <500-1000 DM, >= 7 years, 4, none, 4, other, 39, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 6, existing paid back duly till now, used car, 1352, <500-1000 DM, unemplyed, 1, none, 2, society saving agreement, 23, none, rent, 1, unskilled non-resident, 1, yes, yes, 1
male, single, no account, 11, other credits existing, new car, 7228, <100 DM, 1-4 years, 1, none, 4, society saving agreement, 39, none, own, 2, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, no account, 12, existing paid back duly till now, radio/television, 2073, <100-500 DM, 1-4 years, 4, co-applicant, 2, real estate, 28, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 24, delay in paying off, furniture/equipment, 2333, unknown, <1 year, 4, none, 2, society saving agreement, 29, bank, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 27, delay in paying off, used car, 5965, <100 DM, >= 7 years, 1, none, 2, other, 30, none, own, 2, manager/self-employed, 1, yes, yes, 1
male, single, no account, 12, existing paid back duly till now, radio/television, 1262, <100 DM, 1-4 years, 3, none, 2, other, 25, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 18, existing paid back duly till now, used car, 3378, unknown, 1-4 years, 2, none, 1, society saving agreement, 31, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 36, delay in paying off, new car, 2225, <100 DM, >= 7 years, 4, none, 4, np property, 57, bank, for free, 2, skilled employee, 1, yes, yes, 2
male, single, no account, 6, all at this bank paid back duly, new car, 783, unknown, 1-4 years, 1, guarantor, 2, real estate, 26, stores, own, 1, unskilled resident, 2, none, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, radio/television, 6468, unknown, unemplyed, 2, none, 1, np property, 52, none, own, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, no account, 36, other credits existing, radio/television, 9566, <100 DM, 1-4 years, 2, none, 2, other, 31, stores, own, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, >=200 DM, 18, existing paid back duly till now, new car, 1961, <100 DM, >= 7 years, 3, none, 2, other, 23, none, own, 1, manager/self-employed, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 36, other credits existing, furniture/equipment, 6229, <100 DM, <1 year, 4, co-applicant, 4, np property, 23, none, rent, 2, unskilled resident, 1, yes, yes, 2
male, married/widowed, 0-200 DM, 9, existing paid back duly till now, business, 1391, <100 DM, 1-4 years, 2, none, 1, real estate, 27, bank, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 15, other credits existing, radio/television, 1537, unknown, >= 7 years, 4, guarantor, 4, real estate, 50, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 36, all paid back duly, business, 1953, <100 DM, >= 7 years, 4, none, 4, np property, 61, none, for free, 1, manager/self-employed, 1, yes, yes, 2
male, single, 0-200 DM, 48, all paid back duly, business, 14421, <100 DM, 1-4 years, 2, none, 2, other, 25, none, own, 1, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, no account, 24, existing paid back duly till now, radio/television, 3181, <100 DM, <1 year, 4, none, 4, society saving agreement, 26, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, no account, 27, existing paid back duly till now, repairs, 5190, unknown, >= 7 years, 4, none, 4, society saving agreement, 48, none, own, 4, skilled employee, 2, yes, yes, 1
female, divorced/separated/married, no account, 12, existing paid back duly till now, radio/television, 2171, <100 DM, <1 year, 2, none, 2, other, 29, bank, own, 1, skilled employee, 1, none, yes, 1
male, married/widowed, 0-200 DM, 12, existing paid back duly till now, new car, 1007, >=100 DM, 1-4 years, 4, none, 1, real estate, 22, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 36, existing paid back duly till now, education, 1819, <100 DM, 1-4 years, 4, none, 4, np property, 37, stores, for free, 1, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, no account, 36, existing paid back duly till now, radio/television, 2394, unknown, 1-4 years, 4, none, 4, other, 25, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 36, existing paid back duly till now, used car, 8133, <100 DM, 1-4 years, 1, none, 2, society saving agreement, 30, bank, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 7, other credits existing, radio/television, 730, unknown, >= 7 years, 4, none, 2, society saving agreement, 46, none, rent, 2, unskilled resident, 1, yes, yes, 1
male, single, 0 DM, 8, other credits existing, others, 1164, <100 DM, >= 7 years, 3, none, 4, np property, 51, bank, for free, 2, manager/self-employed, 2, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 42, other credits existing, business, 5954, <100 DM, 4-7 years, 2, none, 1, real estate, 41, bank, own, 2, unskilled resident, 1, none, yes, 1
male, single, 0 DM, 36, existing paid back duly till now, education, 1977, unknown, >= 7 years, 4, none, 4, np property, 40, none, own, 1, manager/self-employed, 1, yes, yes, 2
male, single, 0 DM, 12, other credits existing, used car, 1526, <100 DM, >= 7 years, 4, none, 4, np property, 66, none, for free, 2, manager/self-employed, 1, none, yes, 1
male, single, 0 DM, 42, existing paid back duly till now, radio/television, 3965, <100 DM, <1 year, 4, none, 3, other, 34, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 11, delay in paying off, radio/television, 4771, <100 DM, 4-7 years, 2, none, 4, society saving agreement, 51, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 54, all paid back duly, used car, 9436, unknown, 1-4 years, 2, none, 2, society saving agreement, 39, none, own, 1, unskilled resident, 2, none, yes, 1
male, married/widowed, 0-200 DM, 30, existing paid back duly till now, furniture/equipment, 3832, <100 DM, <1 year, 2, none, 1, society saving agreement, 22, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 24, existing paid back duly till now, radio/television, 5943, unknown, <1 year, 1, none, 1, other, 44, none, own, 2, skilled employee, 1, yes, yes, 2
male, single, no account, 15, existing paid back duly till now, radio/television, 1213, <500-1000 DM, >= 7 years, 4, none, 3, society saving agreement, 47, stores, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 18, existing paid back duly till now, business, 1568, <100-500 DM, 1-4 years, 3, none, 4, society saving agreement, 24, none, rent, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, others, 1755, <100 DM, >= 7 years, 4, guarantor, 4, real estate, 58, none, own, 1, unskilled resident, 1, yes, yes, 1
male, single, 0 DM, 10, existing paid back duly till now, radio/television, 2315, <100 DM, >= 7 years, 3, none, 4, real estate, 52, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, business, 1412, <100 DM, 1-4 years, 4, guarantor, 2, real estate, 29, none, own, 2, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 18, other credits existing, furniture/equipment, 1295, <100 DM, <1 year, 4, none, 1, society saving agreement, 27, none, own, 2, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, education, 12612, <100-500 DM, 1-4 years, 1, none, 4, np property, 47, none, for free, 1, skilled employee, 2, yes, yes, 2
male, single, 0 DM, 18, existing paid back duly till now, new car, 2249, <100-500 DM, 4-7 years, 4, none, 3, other, 30, none, own, 1, manager/self-employed, 2, yes, yes, 1
male, single, 0 DM, 12, all paid back duly, repairs, 1108, <100 DM, 4-7 years, 4, none, 3, real estate, 28, none, own, 2, skilled employee, 1, none, yes, 2
male, single, no account, 12, other credits existing, radio/television, 618, <100 DM, >= 7 years, 4, none, 4, real estate, 56, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 12, other credits existing, used car, 1409, <100 DM, >= 7 years, 4, none, 3, real estate, 54, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, radio/television, 797, unknown, >= 7 years, 4, none, 3, society saving agreement, 33, bank, own, 1, unskilled resident, 2, none, yes, 2
male, single, >=200 DM, 24, other credits existing, furniture/equipment, 3617, unknown, >= 7 years, 4, co-applicant, 4, np property, 20, none, rent, 2, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, new car, 1318, >=100 DM, >= 7 years, 4, none, 4, real estate, 54, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 54, all paid back duly, business, 15945, <100 DM, <1 year, 3, none, 4, np property, 58, none, rent, 1, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, no account, 12, other credits existing, education, 2012, unknown, 4-7 years, 4, none, 2, other, 61, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 18, existing paid back duly till now, business, 2622, <100-500 DM, 1-4 years, 4, none, 4, other, 34, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, other credits existing, radio/television, 2337, <100 DM, >= 7 years, 4, none, 4, real estate, 36, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 20, delay in paying off, used car, 7057, unknown, 4-7 years, 3, none, 4, society saving agreement, 36, bank, rent, 2, manager/self-employed, 2, yes, yes, 1
male, married/widowed, no account, 24, existing paid back duly till now, new car, 1469, <100-500 DM, >= 7 years, 4, none, 4, real estate, 41, none, rent, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, radio/television, 2323, <100 DM, 4-7 years, 4, none, 4, other, 24, none, rent, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 6, delay in paying off, radio/television, 932, <100 DM, 1-4 years, 3, none, 2, real estate, 24, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 9, other credits existing, furniture/equipment, 1919, <100 DM, 4-7 years, 4, none, 3, other, 35, none, rent, 1, skilled employee, 1, yes, yes, 1
male, married/widowed, no account, 12, existing paid back duly till now, used car, 2445, unknown, <1 year, 2, none, 4, other, 26, none, rent, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 24, other credits existing, others, 11938, <100 DM, 1-4 years, 2, co-applicant, 3, other, 39, none, own, 2, manager/self-employed, 2, yes, yes, 2
male, single, no account, 18, all at this bank paid back duly, new car, 6458, <100 DM, >= 7 years, 2, none, 4, np property, 39, bank, own, 2, manager/self-employed, 2, yes, yes, 2
male, single, 0-200 DM, 12, existing paid back duly till now, new car, 6078, <100 DM, 4-7 years, 2, none, 2, other, 32, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, furniture/equipment, 7721, unknown, <1 year, 1, none, 2, society saving agreement, 30, none, own, 1, skilled employee, 1, yes, no, 1
male, married/widowed, 0-200 DM, 14, existing paid back duly till now, business, 1410, <500-1000 DM, >= 7 years, 1, none, 2, real estate, 35, none, own, 1, skilled employee, 1, yes, yes, 1
male, divorced/separated, 0-200 DM, 6, delay in paying off, business, 1449, <100-500 DM, >= 7 years, 1, none, 2, other, 31, bank, own, 2, skilled employee, 2, none, yes, 1
female, divorced/separated/married, >=200 DM, 15, existing paid back duly till now, education, 392, <100 DM, <1 year, 4, none, 4, society saving agreement, 23, none, rent, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 18, existing paid back duly till now, new car, 6260, <100 DM, 4-7 years, 3, none, 3, real estate, 28, none, rent, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, no account, 36, other credits existing, new car, 7855, <100 DM, 1-4 years, 4, none, 2, real estate, 25, stores, own, 2, skilled employee, 1, yes, yes, 2
male, married/widowed, 0 DM, 12, existing paid back duly till now, radio/television, 1680, <500-1000 DM, >= 7 years, 3, none, 1, real estate, 35, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 48, other credits existing, radio/television, 3578, unknown, >= 7 years, 4, none, 1, real estate, 47, none, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 42, existing paid back duly till now, radio/television, 7174, unknown, 4-7 years, 4, none, 3, other, 30, none, own, 1, manager/self-employed, 1, yes, yes, 2
female, divorced/separated/married, 0 DM, 10, other credits existing, furniture/equipment, 2132, unknown, <1 year, 2, co-applicant, 3, real estate, 27, none, rent, 2, skilled employee, 1, none, no, 1
female, divorced/separated/married, 0 DM, 33, other credits existing, furniture/equipment, 4281, <500-1000 DM, 1-4 years, 1, none, 4, other, 23, none, own, 2, skilled employee, 1, none, yes, 2
male, divorced/separated, 0-200 DM, 12, other credits existing, new car, 2366, <500-1000 DM, 4-7 years, 3, none, 3, other, 36, none, own, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 21, existing paid back duly till now, radio/television, 1835, <100 DM, 1-4 years, 3, none, 2, real estate, 25, none, own, 2, skilled employee, 1, yes, yes, 2
female, divorced/separated/married, no account, 24, other credits existing, used car, 3868, <100 DM, >= 7 years, 4, none, 2, other, 41, none, rent, 2, manager/self-employed, 1, yes, yes, 1
male, single, no account, 12, existing paid back duly till now, furniture/equipment, 1768, <100 DM, 1-4 years, 3, none, 2, real estate, 24, none, rent, 1, unskilled resident, 1, none, yes, 1
male, single, >=200 DM, 10, other credits existing, new car, 781, <100 DM, >= 7 years, 4, none, 4, np property, 63, none, for free, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 18, existing paid back duly till now, furniture/equipment, 1924, unknown, <1 year, 4, none, 3, real estate, 27, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 12, other credits existing, new car, 2121, <100 DM, 1-4 years, 4, none, 2, society saving agreement, 30, none, own, 2, skilled employee, 1, none, yes, 1
male, married/widowed, 0 DM, 12, existing paid back duly till now, radio/television, 701, <100 DM, 1-4 years, 4, none, 2, real estate, 40, none, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, repairs, 639, <100 DM, 1-4 years, 4, none, 2, other, 30, none, own, 1, skilled employee, 1, none, yes, 2
male, single, 0-200 DM, 12, other credits existing, used car, 1860, <100 DM, unemplyed, 4, none, 2, other, 34, none, own, 2, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 12, other credits existing, new car, 3499, <100 DM, 1-4 years, 3, co-applicant, 2, real estate, 29, none, own, 2, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 48, existing paid back duly till now, new car, 8487, unknown, 4-7 years, 1, none, 2, other, 24, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 36, delay in paying off, education, 6887, <100 DM, 1-4 years, 4, none, 3, society saving agreement, 29, stores, own, 1, skilled employee, 1, yes, yes, 2
male, single, no account, 15, existing paid back duly till now, furniture/equipment, 2708, <100 DM, <1 year, 2, none, 3, society saving agreement, 27, bank, own, 2, unskilled resident, 1, none, yes, 1
male, single, no account, 18, existing paid back duly till now, furniture/equipment, 1984, <100 DM, 1-4 years, 4, none, 4, np property, 47, bank, for free, 2, skilled employee, 1, none, yes, 1
female, divorced/separated/married, no account, 60, existing paid back duly till now, radio/television, 10144, <100-500 DM, 4-7 years, 2, none, 4, real estate, 21, none, own, 1, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, radio/television, 1240, unknown, >= 7 years, 4, none, 2, real estate, 38, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 27, delay in paying off, used car, 8613, >=100 DM, 1-4 years, 2, none, 2, other, 27, none, own, 2, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 12, existing paid back duly till now, radio/television, 766, <500-1000 DM, 1-4 years, 4, none, 3, real estate, 66, none, own, 1, unskilled resident, 1, none, yes, 2
male, single, 0-200 DM, 15, other credits existing, radio/television, 2728, unknown, 4-7 years, 4, guarantor, 2, real estate, 35, bank, own, 3, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, >=200 DM, 12, existing paid back duly till now, radio/television, 1881, <100 DM, 1-4 years, 2, none, 2, other, 44, none, rent, 1, unskilled resident, 1, yes, yes, 1
male, married/widowed, >=200 DM, 6, existing paid back duly till now, new car, 709, >=100 DM, <1 year, 2, none, 2, real estate, 27, none, own, 1, unskilled non-resident, 1, none, no, 1
female, divorced/separated/married, 0-200 DM, 36, existing paid back duly till now, radio/television, 4795, <100 DM, <1 year, 4, none, 1, np property, 30, none, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0 DM, 27, existing paid back duly till now, radio/television, 3416, <100 DM, 1-4 years, 3, none, 2, other, 27, none, own, 1, manager/self-employed, 1, none, yes, 1
male, single, 0 DM, 18, existing paid back duly till now, furniture/equipment, 2462, <100 DM, 1-4 years, 2, none, 2, other, 22, none, own, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, no account, 21, other credits existing, furniture/equipment, 2288, <100 DM, <1 year, 4, none, 4, society saving agreement, 23, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 48, all at this bank paid back duly, business, 3566, <100-500 DM, 4-7 years, 4, none, 2, other, 30, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 6, other credits existing, new car, 860, <100 DM, >= 7 years, 1, none, 4, np property, 39, none, own, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, no account, 12, other credits existing, new car, 682, <100-500 DM, 4-7 years, 4, none, 3, other, 51, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 36, other credits existing, furniture/equipment, 5371, <100 DM, 1-4 years, 3, guarantor, 2, society saving agreement, 28, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 18, other credits existing, radio/television, 1582, >=100 DM, >= 7 years, 4, none, 4, other, 46, none, own, 2, skilled employee, 1, none, yes, 1
male, single, no account, 6, existing paid back duly till now, radio/television, 1346, <100-500 DM, >= 7 years, 2, none, 4, np property, 42, bank, for free, 1, skilled employee, 2, yes, yes, 1
male, single, no account, 10, existing paid back duly till now, radio/television, 1924, <100 DM, 1-4 years, 1, none, 4, society saving agreement, 38, none, own, 1, skilled employee, 1, yes, no, 1
male, single, >=200 DM, 36, existing paid back duly till now, radio/television, 5848, <100 DM, 1-4 years, 4, none, 1, other, 24, none, own, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, other credits existing, used car, 7758, >=100 DM, >= 7 years, 2, none, 4, np property, 29, none, rent, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 24, delay in paying off, business, 6967, <100-500 DM, 4-7 years, 4, none, 4, other, 36, none, rent, 1, manager/self-employed, 1, yes, yes, 1
female, divorced/separated/married, 0 DM, 12, existing paid back duly till now, furniture/equipment, 1282, <100 DM, 1-4 years, 2, none, 4, other, 20, none, rent, 1, skilled employee, 1, none, yes, 2
male, single, 0 DM, 9, other credits existing, repairs, 1288, <100-500 DM, >= 7 years, 3, guarantor, 4, real estate, 48, none, own, 2, skilled employee, 2, none, no, 1
male, married/widowed, 0 DM, 12, all at this bank paid back duly, retraining, 339, <100 DM, >= 7 years, 4, none, 1, other, 45, bank, own, 1, unskilled resident, 1, none, yes, 1
male, single, 0-200 DM, 24, existing paid back duly till now, new car, 3512, <100-500 DM, 4-7 years, 2, none, 3, other, 38, bank, own, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 6, other credits existing, radio/television, 1898, unknown, 1-4 years, 1, none, 2, real estate, 34, none, own, 2, unskilled resident, 2, none, yes, 1
male, single, no account, 24, other credits existing, radio/television, 2872, <100-500 DM, >= 7 years, 3, none, 4, real estate, 36, none, own, 1, skilled employee, 2, yes, yes, 1
